user,session_id,session_nr,sequence_length,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,cluster
00a05cc62,00a05cc62_Session_1,1,4,Course_view,Course_view,Instructions,Course_view,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,4
00a05cc62,00a05cc62_Session_10,10,3,Course_view,Practicals,Course_view,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,4
00a05cc62,00a05cc62_Session_11,11,4,Course_view,Practicals,Practicals,Course_view,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,4
00a05cc62,00a05cc62_Session_12,12,9,Course_view,Practicals,Practicals,Practicals,Practicals,Practicals,Practicals,Practicals,Practicals,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,3
00a05cc62,00a05cc62_Session_13,13,5,Course_view,Course_view,Practicals,Practicals,Practicals,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,4
00a05cc62,00a05cc62_Session_14,14,20,Social,Practicals,Course_view,Course_view,Practicals,Practicals,Social,Social,Course_view,Practicals,Instructions,Social,Practicals,Practicals,Instructions,Practicals,Course_view,Instructions,Course_view,Course_view,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,3
00a05cc62,00a05cc62_Session_15,15,5,Course_view,Practicals,Practicals,Course_view,Practicals,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,1
00a05cc62,00a05cc62_Session_16,16,3,Course_view,Practicals,Practicals,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,4
00a05cc62,00a05cc62_Session_17,17,16,Practicals,Practicals,Practicals,Practicals,Practicals,Practicals,Course_view,Practicals,Practicals,Practicals,Practicals,Practicals,Practicals,Practicals,Practicals,Practicals,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,3
00a05cc62,00a05cc62_Session_18,18,15,Course_view,Group_work,Group_work,Group_work,Group_work,Practicals,Practicals,Practicals,Practicals,Group_work,Practicals,Practicals,Course_view,Group_work,Practicals,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,3
